Day,Month,Year,site_name,Zone,station,species,inflorescences,observer
10,may,2024,Lang Crossing,2Forest,PGEStump,Collinsia parviflora,275,TC
10,may,2024,Lang Crossing,1Meadow,Serp1,NA,0,TC
10,may,2024,Lang Crossing,1Meadow,PinkBush,NA,0,TC
10,may,2024,Lang Crossing,3Chap,Roadside3,NA,0,TC
18,may,2024,Washington,1Valley,pipe,Trifolium hirtum,494,MF
18,may,2024,Washington,1Valley,pipe,Plantago lanceolata,178,MF
18,may,2024,Washington,1Valley,pipe,Erodium cicutarium,8,MF
18,may,2024,Washington,1Valley,pipe,Toxicodendron diversilobum,750,MF
18,may,2024,Washington,1Valley,pipe,Diplacus aurantiacus,9,MF
18,may,2024,Washington,1Valley,lathyrus rock,Asteraceae sp,6,MF
18,may,2024,Washington,1Valley,lathyrus rock,Trifolium dubium,23,MF
18,may,2024,Washington,1Valley,lathyrus rock,Trifolium hirtum,3,MF
18,may,2024,Washington,1Valley,lathyrus rock,Lathyrus hirsutus,2,MF
18,may,2024,Washington,1Valley,logCanyon,Diplacus aurantiacus,2,MF
18,may,2024,Washington,1Valley,cedar rock,Ceanothus integerrimus,152,MF
18,may,2024,Washington,1Valley,cedar rock,Trifolium dubium,250,MF
18,may,2024,Washington,1Valley,cedar rock,Chamaebatia foliolosa,4,MF
18,may,2024,Washington,1Valley,high rock,Trifolium dubium,403,MF
18,may,2024,Washington,1Valley,high rock,Ranunculus occidentalis,3,MF
18,may,2024,Washington,1Valley,high rock,Collomia heterophylla,5,MF
18,may,2024,Washington,2Serp,ditch,Cytisus scoparius,40,MF
18,may,2024,Washington,2Serp,ditch,Eriophyllum lanatum,5,MF
18,may,2024,Washington,2Serp,stump,Dichelostemma multiflorum,14,MF
18,may,2024,Washington,2Serp,stump,Ranunculus occidentalis,20,MF
18,may,2024,Washington,2Serp,stump,Asclepias cordifolia,53,MF
18,may,2024,Washington,2Serp,stump,Eriophyllum lanatum,1,MF
18,may,2024,Washington,2Serp,yerba,Viola purpurea,64,MF
18,may,2024,Washington,2Serp,yerba,Dichelostemma multiflorum,20,MF
18,may,2024,Washington,2Serp,yerba,Eriodictyon sp,97,MF
30,may,2024,Washington,2Serp,ditch,Triteleia laxa,8,MF
30,may,2024,Washington,2Serp,ditch,Eriophyllum lanatum,18,MF
30,may,2024,Washington,2Serp,ditch,Calystegia sp,1,MF
30,may,2024,Washington,2Serp,stump,Dichelostemma multiflorum,21,MF
30,may,2024,Washington,2Serp,stump,Thymophylla pentachaeta,19,MF
30,may,2024,Washington,2Serp,stump,Asclepias cordifolia,67,MF
30,may,2024,Washington,2Serp,stump,Pinaropappus roseus,24,MF
30,may,2024,Washington,2Serp,yerba,Eriodictyon sp,384,MF
30,may,2024,Washington,2Serp,yerba,Dichelostemma multiflorum,43,MF
30,may,2024,Washington,2Serp,yerba,Thymophylla pentachaeta,26,MF
30,may,2024,Washington,2Serp,yerba,Viola purpurea,26,MF
30,may,2024,Washington,1Valley,pipe,Trifolium hirtum,44,MF
30,may,2024,Washington,1Valley,pipe,Plantago lanceolata,110,MF
30,may,2024,Washington,1Valley,pipe,Diplacus grandiflorus,16,MF
30,may,2024,Washington,1Valley,lathyrus rock,Lathyrus latifolius,39,MF
30,may,2024,Washington,1Valley,logCanyon,Rubus ulmifolius,1,MF
30,may,2024,Washington,1Valley,logCanyon,Torilis arvensis,61,MF
30,may,2024,Washington,1Valley,high rock,Trifolium dubium,800,MF
30,may,2024,Washington,1Valley,high rock,Acmispon americanus,9,MF
30,may,2024,Washington,1Valley,high rock,Torilis arvensis,6,MF
30,may,2024,Washington,1Valley,cedar rock,Chamaebatia foliolosa,24,MF
30,may,2024,Washington,1Valley,cedar rock,Dichelostemma multiflorum,35,MF
28,may,2024,Lang Crossing,1Meadow,post2trail,Microsteris gracilis,20,TC
28,may,2024,Lang Crossing,1Meadow,post2trail,Uknown (tiny white flower),400,TC
28,may,2024,Lang Crossing,1Meadow,stump2rock,Dicentra formosa,49,TC
28,may,2024,Lang Crossing,1Meadow,stump2rock,Tragopogon dubius,1,TC
28,may,2024,Lang Crossing,1Meadow,stump2rock,Lepidium campestre,275,TC
28,may,2024,Lang Crossing,1Meadow,stump2rock,Rumex acetosella,8,TC
28,may,2024,Lang Crossing,1Meadow,MeadowStump,Lepidium campestre,432,TC
28,may,2024,Lang Crossing,1Meadow,MeadowStump,Rumex acetosella,296,TC
28,may,2024,Lang Crossing,1Meadow,MeadowStump,Erodium cicutarium,3,TC
28,may,2024,Lang Crossing,1Meadow,MeadowStump,Tragopogon dubius,1,TC
28,may,2024,Lang Crossing,2Forest,PGEStump,Diplacus torreyi,1,TC
28,may,2024,Lang Crossing,2Forest,PGEStump,Microsteris gracilis,19,TC
28,may,2024,Lang Crossing,2Forest,PGEStump,Lupinus sp,1,TC
28,may,2024,Lang Crossing,2Forest,PGEStump,Rumex acetosella,480,TC
28,may,2024,Lang Crossing,3Chap,Roadside3,Eriophyllum lanatum,187,TC
28,may,2024,Lang Crossing,3Chap,Roadside3,Acmispon brachycarpus,12,TC
28,may,2024,Lang Crossing,3Chap,Roadside3,Eriodictyon californicum,22,TC
28,may,2024,Lang Crossing,3Chap,Roadside3,Plantago lanceolata,46,TC
28,may,2024,Lang Crossing,3Chap,Roadside1,Trifolium hirtum,15,TC
28,may,2024,Lang Crossing,3Chap,Roadside1,Scleranthus annuus,12560,TC
28,may,2024,Lang Crossing,3Chap,Roadside1,Lupinus stiversii,13,TC
28,may,2024,Lang Crossing,3Chap,Roadside2,Eriodictyon californicum,279,TC
28,may,2024,Lang Crossing,3Chap,Roadside2,Potentilla gracilis,29,TC
28,may,2024,Lang Crossing,3Chap,Roadside2,Eriophyllum lanatum,128,TC
28,may,2024,Lang Crossing,3Chap,Roadside2,Castilleja applegatei,23,TC
28,may,2024,Lang Crossing,3Chap,Roadside2,Calyptridium monospermum,7,TC
28,may,2024,Lang Crossing,1Meadow,PinkBush,Montia chamissoi,22,TC
28,may,2024,Lang Crossing,1Meadow,PinkBush,Veronica americana,6,TC
28,may,2024,Lang Crossing,1Meadow,Serp1,Rumex acetosella,391,TC
28,may,2024,Lang Crossing,1Meadow,Serp1,Phacelia marcescens,49,TC
31,may,2024,Sierra Valley,2Lava,tree,Erodium cicutarium,3,TC
31,may,2024,Sierra Valley,2Lava,tree,Sisymbrium altissimum,9,TC
31,may,2024,Sierra Valley,2Lava,tree,Mentzelia albicaulis,3,TC
31,may,2024,Sierra Valley,2Lava,fenceline,Lomatium nudicaule,5,TC
31,may,2024,Sierra Valley,2Lava,fenceline,Crepis acuminata,4,TC
31,may,2024,Sierra Valley,2Lava,fenceline,Lupinus sp,3,TC
31,may,2024,Sierra Valley,2Lava,fenceline,Trifolium hirtum,6,TC
31,may,2024,Sierra Valley,2Lava,cement,Ivesia gordonii,24,TC
31,may,2024,Sierra Valley,2Lava,cement,Rumex acetosella,2,TC
31,may,2024,Sierra Valley,2Lava,mulesEars,Phacelia heterophylla,565,TC
31,may,2024,Sierra Valley,2Lava,mulesEars,Wyethia mollis,3,TC
31,may,2024,Sierra Valley,1Road,niceLadyHouse,Mentzelia albicaulis,11,TC
31,may,2024,Sierra Valley,1Road,niceLadyHouse,Lupinus sp,8,TC
31,may,2024,Sierra Valley,1Road,sign,Boraginaceae sp,474,TC
31,may,2024,Sierra Valley,1Road,sign,Lepidium campestre,8,TC
31,may,2024,Sierra Valley,1Road,sign,Ranunculus occidentalis,12,TC
31,may,2024,Sierra Valley,1Road,sign,Erodium cicutarium,1,TC
31,may,2024,Sierra Valley,1Road,sign,Thlaspi arvense,7,TC
31,may,2024,Sierra Valley,1Road,alfalfaTurn,NA,0,TC
31,may,2024,Sierra Valley,1Road,alfalfaTurn2,Prunus virginiana,146,TC
31,may,2024,Sierra Valley,1Road,alfalfaTurn2,Sisymbrium altissimum,40,TC
31,may,2024,Sierra Valley,1Road,alfalfaTurn2,Rosa sp,7,TC
31,may,2024,Sierra Valley,1Road,rabbit,Phacelia heterophylla,9,TC
31,may,2024,Sierra Valley,1Road,rabbit,Mentzelia albicaulis,3,TC
31,may,2024,Sierra Valley,1Road,bittern,Lepidium campestre,243,TC
31,may,2024,Sierra Valley,1Road,bittern,Linum lewisii,33,TC
31,may,2024,Sierra Valley,1Road,stream,NA,0,TC
12,june,2024,Lang Crossing,1Meadow,PinkBush,Spiraea splendens,450,TC
12,june,2024,Lang Crossing,1Meadow,PinkBush,Veronica americana,81,TC
12,june,2024,Lang Crossing,1Meadow,PinkBush,Potentilla gracilis,3,TC
12,june,2024,Lang Crossing,1Meadow,PinkBush,Erythranthe guttata,29,TC
12,june,2024,Lang Crossing,1Meadow,Serp1,Eriogonum nudum,26,TC
12,june,2024,Lang Crossing,1Meadow,Serp1,Penstemon heterophyllus,11,TC
12,june,2024,Lang Crossing,1Meadow,post2trail,Potentilla gracilis,140,TC
12,june,2024,Lang Crossing,1Meadow,stump2rock,Lathyrus vestitus,9,TC
12,june,2024,Lang Crossing,1Meadow,stump2rock,Agastache urticifolia,18,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Agastache urticifolia,18,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Tragopogon dubius,1,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Erodium cicutarium,3,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Achillea millefolium,1,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Rumex acetosella,104,TC
12,june,2024,Lang Crossing,1Meadow,MeadowStump,Lathyrus vestitus,8,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Penstemon heterophyllus,68,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Diplacus longiflorus,27,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Eriodictyon californicum,261,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Eriophyllum lanatum,346,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Plantago lanceolata,5,TC
12,june,2024,Lang Crossing,3Chap,Roadside3,Hypericum perforatum,34,TC
12,june,2024,Lang Crossing,3Chap,Roadside1,Eriophyllum lanatum,4,TC
12,june,2024,Lang Crossing,3Chap,Roadside2,Brodiaea elegans,58,TC
12,june,2024,Lang Crossing,3Chap,Roadside2,Eriodictyon californicum,624,TC
12,june,2024,Lang Crossing,3Chap,Roadside2,Calyptridium monospermum,4,TC
12,june,2024,Lang Crossing,3Chap,Roadside2,Castilleja applegatei,3,TC
12,june,2024,Lang Crossing,3Chap,PGEStump,Lupinus sp,5,TC
12,june,2024,Lang Crossing,3Chap,PGEStump,Apocynum androsaemifolium,87,TC
12,june,2024,Lang Crossing,3Chap,PGEStump,Rumex acetosella,116,TC
12,june,2024,Donner Pass,3Bridge,snowshed,Eriogonum umbellatum,207,TC
12,june,2024,Donner Pass,3Bridge,snowshed,Amelanchier utahensis,142,TC
12,june,2024,Donner Pass,3Bridge,snowshed,Plagiobothrys sp,45,TC
12,june,2024,Donner Pass,3Bridge,snowshed,Spergularia rubra,1,TC
12,june,2024,Donner Pass,3Bridge,snowshed,Collinsia parviflora,29,TC
12,june,2024,Donner Pass,1Tracks,rabbitbrush,NA,NA,TC
12,june,2024,Donner Pass,1Tracks,rail turnoff,Lupinus argenteus,101,TC
12,june,2024,Donner Pass,1Tracks,rail turnoff,Prunus emarginata,594,TC
12,june,2024,Donner Pass,1Tracks,rail turnoff,Phacelia hastata,25,TC
12,june,2024,Donner Pass,1Tracks,rail turnoff,Sidalcea glaucescens,1,TC
12,june,2024,Donner Pass,1Tracks,rail turnoff,Delphinium andersonii,8,TC
12,june,2024,Donner Pass,1Tracks,side road,Lupinus argenteus,32,TC
12,june,2024,Donner Pass,1Tracks,side road,Ipomopsis aggregata,2,TC
12,june,2024,Donner Pass,1Tracks,side road,Calyptridium monospermum,7,TC
12,june,2024,Donner Pass,1Tracks,side road,Prunus emarginata,322,TC
12,june,2024,Donner Pass,1Tracks,side road,Collinsia torreyi,28,TC
12,june,2024,Donner Pass,2Meadow,picnic table,NA,0,TC
12,june,2024,Donner Pass,1Tracks,rust,Prunus emarginata,195,TC
12,june,2024,Donner Pass,1Tracks,small rock,Prunus emarginata,149,TC
12,june,2024,Donner Pass,1Tracks,baby tree,NA,0,TC
12,june,2024,Donner Pass,1Tracks,access road,Potentilla gracilis,6,TC
12,june,2024,Donner Pass,1Tracks,access road,Trifolium hirtum,6,TC
12,june,2024,Donner Pass,1Tracks,access road,Sidalcea glaucescens,18,TC
12,june,2024,Donner Pass,1Tracks,access road,Ceanothus cordulatus,120,TC
13,june,2024,Washington,1Valley,pipe,Plantago lanceolata,103,MF
13,june,2024,Washington,1Valley,lathyrus rock,Lathyrus latifolius,603,MF
13,june,2024,Washington,1Valley,lathyrus rock,Hypericum perforatum,10,MF
13,june,2024,Washington,1Valley,logCanyon,Lathyrus latifolius,61,MF
13,june,2024,Washington,1Valley,logCanyon,Rubus ulmifolius,37,MF
13,june,2024,Washington,1Valley,logCanyon,Philadelphus lewisii,300,MF
13,june,2024,Washington,1Valley,cedar rock,Chamaebatia foliolosa,1,MF
13,june,2024,Washington,1Valley,cedar rock,Dichelostemma multiflorum,6,MF
13,june,2024,Washington,1Valley,cedar rock,Hypericum perforatum,38,MF
13,june,2024,Washington,1Valley,high rock,Hypericum perforatum,10,MF
13,june,2024,Washington,1Valley,high rock,Acmispon americanus,14,MF
13,june,2024,Washington,1Valley,high rock,Torilis arvensis,25,MF
13,june,2024,Washington,2Serp,stump,Monardella odoratissima,61,MF
13,june,2024,Washington,2Serp,stump,Rafinesquia californica,43,MF
13,june,2024,Washington,2Serp,stump,Dichelostemma multiflorum,1,MF
13,june,2024,Washington,2Serp,ditch,Eriophyllum lanatum,3,MF
13,june,2024,Washington,2Serp,ditch,Erythranthe guttata,7,MF
13,june,2024,Washington,2Serp,yerba,Eriophyllum lanatum,5,MF
13,june,2024,Washington,2Serp,yerba,Streptanthus glandulosus,160,MF
14,june,2024,Sierra Valley,2Lava,tree,Madia gracilis,3,TC
14,june,2024,Sierra Valley,2Lava,fenceline,NA,0,TC
14,june,2024,Sierra Valley,2Lava,cement,Ivesia gordonii,34,TC
14,june,2024,Sierra Valley,2Lava,cement,Rumex sp,2,TC
14,june,2024,Sierra Valley,2Lava,mulesEars,Carduus nutans,7,TC
14,june,2024,Sierra Valley,2Lava,mulesEars,Wyethia mollis,18,TC
14,june,2024,Sierra Valley,2Lava,mulesEars,Sisymbrium altissimum,9,TC
14,june,2024,Sierra Valley,1Road,niceLadyHouse,Lupinus sp,68,TC
14,june,2024,Sierra Valley,1Road,niceLadyHouse,Rosa sp,1,TC
14,june,2024,Sierra Valley,1Road,niceLadyHouse,Madia gracilis,2,TC
14,june,2024,Sierra Valley,1Road,niceLadyHouse,Mentzelia albicaulis,25,TC
14,june,2024,Sierra Valley,1Road,sign,Lepidium campestre,32,TC
14,june,2024,Sierra Valley,1Road,sign,Vicia villosa,1,TC
14,june,2024,Sierra Valley,1Road,sign,Amsinckia sp,7,TC
14,june,2024,Sierra Valley,1Road,alfalfaTurn,Medicago sativa,15,TC
14,june,2024,Sierra Valley,1Road,alfalfaTurn2,Sisymbrium altissimum,41,TC
14,june,2024,Sierra Valley,1Road,rabbit,Sisymbrium altissimum,65,TC
14,june,2024,Sierra Valley,1Road,rabbit,Mentzelia albicaulis,6,TC
14,june,2024,Sierra Valley,1Road,bittern,Convolvulus arvensis,167,TC
14,june,2024,Sierra Valley,1Road,bittern,Linum lewisii,51,TC
14,june,2024,Sierra Valley,1Road,bittern,Melilotus officinalis,22,TC
14,june,2024,Sierra Valley,1Road,stream,Erythranthe guttata,10,TC
14,june,2024,Sierra Valley,1Road,stream,Penstemon rydbergii,31,TC
15,june,2024,Castle Peak,1LowForest,logs,Hydrophyllum occidentale,7,TC
15,june,2024,Castle Peak,1LowForest,logs,Sanicula tuberosa,254,TC
15,june,2024,Castle Peak,1LowForest,logs,Collinsia parviflora,470,TC
15,june,2024,Castle Peak,1LowForest,trickle ,Ranunculus sp,2,TC
15,june,2024,Castle Peak,1LowForest,trickle ,Erysimum capitatum,42,TC
15,june,2024,Castle Peak,1LowForest,trickle ,Hackelia sp,3,TC
15,june,2024,Castle Peak,2CastleAscent,trail split,Phlox diffusa,64,TC
15,june,2024,Castle Peak,2CastleAscent,trail split,Viola nuttallii,6,TC
15,june,2024,Castle Peak,2CastleAscent,trail split,Apiaceae sp,6,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Hackelia sp,27,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Phlox diffusa,266,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Apiaceae sp,11,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Viola nuttallii,3,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Allium validum,3,TC
15,june,2024,Castle Peak,2CastleAscent,onion!,Collinsia parviflora,59,TC
15,june,2024,Castle Peak,2CastleAscent,buckwheat,Phlox diffusa,105,TC
15,june,2024,Castle Peak,2CastleAscent,buckwheat,Eremogone kingii,83,TC
15,june,2024,Castle Peak,2CastleAscent,buckwheat,Allium validum,2,TC
15,june,2024,Castle Peak,2CastleAscent,buckwheat,Apiaceae sp,4,TC
15,june,2024,Castle Peak,2CastleAscent,buckwheat,Hackelia sp,8,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Phlox diffusa,123,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Wyethia mollis,9,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Erysimum capitatum,33,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Lupinus sp,19,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Valeriana californica,27,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Eremogone kingii,10,TC
15,june,2024,Castle Peak,2CastleAscent,valeria,Viola purpurea,1,TC
15,june,2024,Castle Peak,3Ridge,pine alpine,Phlox diffusa,22,TC
15,june,2024,Castle Peak,3Ridge,pine alpine,Anemone sp,148,TC
15,june,2024,Castle Peak,3Ridge,pine alpine,Eremogone kingii,5,TC
15,june,2024,Castle Peak,3Ridge,pine alpine,Valeriana californica,50,TC
15,june,2024,Castle Peak,3Ridge,pine alpine,Apiaceae sp,5,TC
20,june,2024,Mt Rose,1Forest,dead shrub,NA,0,TC
20,june,2024,Mt Rose,1Forest,boulder,Wyethia mollis,1,TC
20,june,2024,Mt Rose,1Forest,small rock,Wyethia mollis,11,TC
20,june,2024,Mt Rose,1Forest,small rock,Castilleja applegatei,7,TC
20,june,2024,Mt Rose,1Forest,fallen trees,Myosotis sp,17,TC
20,june,2024,Mt Rose,2Meadow,waterfall,Potentilla gracilis,215,TC
20,june,2024,Mt Rose,3Alpine,waterfall,Astragalus sp,6,TC
20,june,2024,Mt Rose,3Alpine,waterfall,Senecio integerrimus,24,TC
20,june,2024,Mt Rose,3Alpine,hillside,Castilleja applegatei,18,TC
20,june,2024,Mt Rose,3Alpine,hillside,Packera cana,193,TC
20,june,2024,Mt Rose,3Alpine,hillside,Linanthus pungens,4,TC
20,june,2024,Mt Rose,3Alpine,hillside,Phlox diffusa,1,TC
20,june,2024,Mt Rose,3Alpine,hillside,Lupinus sp,3,TC
20,june,2024,Mt Rose,3Alpine,hillside,Penstemon deustus,2,TC
20,june,2024,Mt Rose,3Alpine,hillside,Astragalus douglasii,27,TC
20,june,2024,Mt Rose,3Alpine,hillside,Ribes cereum,129,TC
20,june,2024,Mt Rose,2Meadow,rock2pond,Ranunculus alismifolius,37,TC
20,june,2024,Mt Rose,2Meadow,meadow rock,Ranunculus alismifolius,82,TC
20,june,2024,Mt Rose,1Forest,ditch tree,Valeriana californica,41,TC
20,june,2024,Mt Rose,1Forest,brush,Lupinus sp,4,TC
20,june,2024,Mt Rose,1Forest,brush,Eriogonum umbellatum,232,TC
20,june,2024,Mt Rose,1Forest,brush,Astragalus sp,27,TC
20,june,2024,Mt Rose,1Forest,brush,Symphoricarpos rotundifolius,35,TC
20,june,2024,Mt Rose,1Forest,road end,Calyptridium monospermum,93,TC
20,june,2024,Mt Rose,1Forest,road end,Erysimum capitatum,5,TC
20,june,2024,Mt Rose,1Forest,road end,Phacelia hastata,51,TC
24,june,2024,Castle Peak,1LowForest,logs,Collinsia torreyi,170,TC
24,june,2024,Castle Peak,1LowForest,logs,Apiaceae sp,3,TC
24,june,2024,Castle Peak,1LowForest,logs,Potentilla gracilis,11,TC
24,june,2024,Castle Peak,1LowForest,logs,Sidalcea glaucescens,1,TC
24,june,2024,Castle Peak,1LowForest,logs,Phacelia hastata,5,TC
24,june,2024,Castle Peak,1LowForest,logs,Hydrophyllum occidentale,6,TC
